sample_id,main_lineage,sub_lineage,is_unknown_lineage,is_compound_lineage,stratifiable_single_lineage
SRR36942191,lineage4,lineage4.6.1.1,False,False,True
SRR36942192,lineage4,lineage4.4.1.1,False,False,True
SRR36942193,lineage4,lineage4.2.1,False,False,True
SRR36942194,lineage4,lineage4.3.4.2.1,False,False,True
SRR36942195,lineage4,lineage4.2.1,False,False,True
SRR36942196,lineage4,lineage4.2.2.2,False,False,True
SRR36942197,lineage3,lineage3.1.2.1,False,False,True
SRR36942198,lineage3,lineage3,False,False,True
SRR36942199,lineage4,lineage4.6.1.2,False,False,True
SRR36942200,lineage4,lineage4.6.1.1,False,False,True
SRR36942201,lineage2,lineage2.2.1,False,False,True
SRR36942202,lineage4,lineage4.4.1.1,False,False,True
SRR36942203,lineage4,lineage4.1.1.1,False,False,True
SRR36942204,lineage4,lineage4.6.1.1,False,False,True
SRR36942205,lineage4,lineage4.6.1.1,False,False,True
SRR36942206,lineage4,lineage4.6.1.1,False,False,True
SRR36942207,lineage4,lineage4.6.1.1,False,False,True
SRR36942208,lineage4,lineage4.8,False,False,True
SRR36942209,lineage4,lineage4.6.1.1,False,False,True
SRR36942210,lineage4,lineage4.1.2.1,False,False,True
SRR36942211,lineage4,lineage4.4.1.1,False,False,True
SRR36942212,lineage4,lineage4.3.3,False,False,True
SRR36942213,lineage4,lineage4.3.4.2.1,False,False,True
SRR36942214,lineage4,lineage4.6.1.2,False,False,True
SRR36942215,lineage4,lineage4.6.1.1,False,False,True
SRR36942216,lineage4,lineage4.8,False,False,True
SRR36942217,lineage3,lineage3,False,False,True
SRR36942218,lineage4,lineage4.6.1.1,False,False,True
SRR36942219,lineage4,lineage4.3.3,False,False,True
SRR36942220,lineage4,lineage4.7,False,False,True
SRR36942221,lineage4,lineage4.3.3,False,False,True
SRR36942222,lineage3,lineage3,False,False,True
SRR36942223,lineage4,lineage4.6.1.2,False,False,True
SRR36942224,lineage4,lineage4.1.2.1,False,False,True
SRR36942225,lineage4,lineage4.6.1.1,False,False,True
SRR36942226,lineage4,lineage4.6.1.1,False,False,True
SRR36942227,lineage4,lineage4.6.1.2,False,False,True
SRR36942228,lineage4,lineage4.6.1.1,False,False,True
SRR36942229,lineage4,lineage4.4.1.1,False,False,True
SRR36942230,lineage4,lineage4.4.1.1,False,False,True
SRR36942231,lineage4,lineage4.3.3,False,False,True
SRR36942232,lineage4,lineage4.1.1.3,False,False,True
SRR36942233,lineage4,lineage4.4.1.1,False,False,True
SRR36942234,lineage4,lineage4.3.4.2,False,False,True
SRR36942235,lineage4,lineage4.1.1.1,False,False,True
SRR36942236,lineage4,lineage4.8,False,False,True
SRR36942237,lineage3,lineage3,False,False,True
SRR36942238,lineage4,lineage4.4.1.1,False,False,True
SRR36942239,lineage4,lineage4.4.1.1,False,False,True
SRR36942240,lineage4,lineage4.6.1.2,False,False,True
SRR36942241,lineage4,lineage4.3.3,False,False,True
SRR36942242,lineage4,lineage4.3.3,False,False,True
SRR36942243,lineage4,lineage4.6.1.1,False,False,True
SRR36942244,lineage3,lineage3,False,False,True
SRR36942245,lineage4,lineage4.4.1.1,False,False,True
SRR36942246,lineage4,lineage4.6.1.2,False,False,True
SRR36942247,lineage4,lineage4.4.1.1,False,False,True
SRR36942248,lineage3,lineage3.1.1,False,False,True
SRR36942249,lineage4,lineage4.6.1.1,False,False,True
SRR36942250,lineage4,lineage4.3.4.2,False,False,True
SRR36942251,lineage3,lineage3,False,False,True
SRR36942252,lineage4,lineage4.3.4.2,False,False,True
SRR36942253,lineage4,lineage4.1.1.1,False,False,True
SRR36942254,lineage3,lineage3,False,False,True
SRR36942255,lineage4,lineage4.4.1.1,False,False,True
SRR36942256,lineage4,lineage4.6.1.1,False,False,True
SRR36942257,lineage4,lineage4.3.3,False,False,True
SRR36942258,lineage4,lineage4.8,False,False,True
SRR36942259,lineage4,lineage4.3.4.2,False,False,True
SRR36942260,lineage4,lineage4.6.1.2,False,False,True
SRR36942261,lineage4,lineage4.6.1.2,False,False,True
SRR36942262,lineage4,lineage4.3.3,False,False,True
SRR36942263,lineage4,lineage4.6.1.1,False,False,True
SRR36942264,lineage4,lineage4.6.1.2,False,False,True
SRR36942265,lineage4,lineage4.1.2.1,False,False,True
SRR36942266,lineage4,lineage4.3.4.2.1,False,False,True
SRR36942267,lineage2,lineage2.2.1,False,False,True
SRR36942268,lineage4,lineage4.6.1.1,False,False,True
SRR36942269,lineage4,lineage4.6.1.2,False,False,True
SRR36942270,lineage4,lineage4.3.4.2,False,False,True
SRR36942271,lineage4,lineage4.3.4.2,False,False,True
